record_id,split
train_0,train
train_1,train
train_10,train
train_100,train
train_1000,train
train_10000,train
train_10001,train
train_10004,train
train_10005,train
train_10006,train
train_10007,train
train_10008,train
train_10009,train
train_1001,train
train_10010,train
train_10011,train
train_10012,train
train_10013,train
train_10014,train
train_10015,train
train_10016,train
train_10018,train
train_10019,train
train_1002,train
train_10021,train
train_10022,train
train_10023,train
train_10024,train
train_10025,train
train_10026,train
train_10027,train
train_10028,train
train_10029,train
train_1003,train
train_10030,train
train_10032,train
train_10033,train
train_10034,train
train_10035,train
train_10036,train
train_10038,train
train_10039,train
train_10040,train
train_10041,train
train_10043,train
train_10044,train
train_10045,train
train_10046,train
train_10047,train
train_10048,train
train_10049,train
train_1005,train
train_10050,train
train_10051,train
train_10052,train
train_10053,train
train_10056,train
train_10057,train
train_10058,train
train_10059,train
train_1006,train
train_10060,train
train_10061,train
train_10062,train
train_10063,train
train_10064,train
train_10065,train
train_10066,train
train_10068,train
train_10069,train
train_1007,train
train_10070,train
train_10071,train
train_10072,train
train_10073,train
train_10074,train
train_10075,train
train_10076,train
train_10077,train
train_10078,train
train_10079,train
train_1008,train
train_10080,train
train_10081,train
train_10082,train
train_10083,train
train_10084,train
train_10085,train
train_10086,train
train_10087,train
train_10088,train
train_10089,train
train_1009,train
train_10090,train
train_10091,train
train_10092,train
train_10093,train
train_10094,train
train_10095,train
train_10096,train
train_10097,train
train_10098,train
train_10099,train
train_1010,train
train_10100,train
train_10101,train
train_10103,train
train_10104,train
train_10105,train
train_10108,train
train_10109,train
train_1011,train
train_10110,train
train_10111,train
train_10112,train
train_10113,train
train_10114,train
train_10115,train
train_10116,train
train_10117,train
train_10118,train
train_10119,train
train_10120,train
train_10121,train
train_10122,train
train_10124,train
train_10125,train
train_10126,train
train_10127,train
train_10128,train
train_10129,train
train_1013,train
train_10130,train
train_10131,train
train_10132,train
train_10133,train
train_10134,train
train_10136,train
train_10137,train
train_10139,train
train_1014,train
train_10140,train
train_10141,train
train_10142,train
train_10143,train
train_10144,train
train_10145,train
train_10146,train
train_10147,train
train_10149,train
train_1015,train
train_10150,train
train_10151,train
train_10152,train
train_10153,train
train_10154,train
train_10155,train
train_10156,train
train_10157,train
train_10158,train
train_10159,train
train_1016,train
train_10160,train
train_10161,train
train_10163,train
train_10164,train
train_10165,train
train_10166,train
train_10167,train
train_10168,train
train_1017,train
train_10170,train
train_10171,train
train_10172,train
train_10173,train
train_10174,train
train_10175,train
train_10176,train
train_10177,train
train_10178,train
train_10179,train
train_10180,train
train_10181,train
train_10182,train
train_10183,train
train_10184,train
train_10186,train
train_10187,train
train_10188,train
train_10189,train
train_1019,train
train_10190,train
train_10191,train
train_10192,train
train_10193,train
train_10194,train
train_10195,train
train_10196,train
train_10197,train
train_10198,train
train_10199,train
train_102,train
train_1020,train
train_10200,train
train_10202,train
train_10203,train
train_10204,train
train_10206,train
train_10207,train
train_10208,train
train_10209,train
train_1021,train
train_10210,train
train_10211,train
train_10212,train
train_10214,train
train_10215,train
train_10216,train
train_10218,train
train_10219,train
train_1022,train
train_10221,train
train_10222,train
train_10223,train
train_10226,train
train_10227,train
train_10228,train
train_10229,train
train_1023,train
train_10231,train
train_10232,train
